Type and size of medical resources - Pharmacies,Data Domain,Total number of care centers,Existence of nearby care centers - exists,Existence of health resources - exists,Town,Total number of first aid centers,Type and size of medical resources - Medical Centers,refArea,Observation URI,Percentage of towns with special needs indiciduals - Without special needs,Type and size of medical resources - Hospitals,Percentage of towns with special needs indiciduals - With special needs,publisher,Type and size of medical resources - Clinics,dataset,Existence of special needs care centers - exists,Type and size of medical resources - Labs and Radiology ,Existence of special needs care centers - does not exist,references,Existence of a first aid center - exists
0,,0,0,0,Hasbaiya El-Matn,0,0,http://dbpedia.org/resource/Baabda_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hasbaiya+El-Matn,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Hasrayel,3,0,http://dbpedia.org/resource/Byblos_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hasrayel,1,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
2,,1,1,1,Hasroun,1,0,http://dbpedia.org/resource/Bsharri_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hasroun,0,0,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Hasrout,0,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hasrout,0,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0
2,,1,1,1,Hayshe,1,1,https://dbpedia.org/page/Akkar_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hayshe,0,0,1,Impact Open Data,2,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,1,1,https://impact.cib.gov.lb/home#open_data_section,1
3,,1,1,1,Hayssa,1,0,https://dbpedia.org/page/Akkar_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hayssa,0,0,1,Impact Open Data,2,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Haytla,0,0,https://dbpedia.org/page/Akkar_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Haytla,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Haytoura,3,0,https://dbpedia.org/page/South_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Haytoura,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,1,Hayzouq,0,0,https://dbpedia.org/page/Akkar_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hayzouq,0,0,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Hazerta,0,0,http://dbpedia.org/resource/ZahlÃ©_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hazerta,0,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Hazmiyah,0,0,http://dbpedia.org/resource/Baabda_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hazmiyah,0,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,,1,1,0,Hazmiyet-Miniyeh,1,0,http://dbpedia.org/resource/MiniyehâDanniyeh_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hazmiyet-Miniyeh,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Hdeine,0,0,http://dbpedia.org/resource/Byblos_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hdeine,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
1,,1,1,1,Hebbariyeh,1,0,http://dbpedia.org/resource/Hasbaya_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hebbariyeh,0,0,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,1,0,0,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Hedd,0,0,https://dbpedia.org/page/Akkar_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hedd,1,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Helouet Rachaya,0,0,https://dbpedia.org/page/Beqaa_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Helouet+Rachaya,1,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Henniyeh,0,0,http://dbpedia.org/resource/Tyre_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Henniyeh,0,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Heri,0,0,http://dbpedia.org/resource/Batroun_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Heri,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
18,,2,1,1,Hermel,2,1,http://dbpedia.org/resource/Hermel_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hermel,0,3,1,Impact Open Data,4,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,1,1,0,https://impact.cib.gov.lb/home#open_data_section,1
0,,2,1,0,Hidab,3,0,https://dbpedia.org/page/South_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hidab,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Hilan,0,0,http://dbpedia.org/resource/Zgharta_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hilan,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Himlaya,0,0,http://dbpedia.org/resource/Matn_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Himlaya,0,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,,2,1,0,Hizzine,2,0,https://dbpedia.org/page/Baalbek-Hermel_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hizzine,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Hjoula,0,0,http://dbpedia.org/resource/Byblos_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hjoula,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Hlaliyeh ,0,0,http://dbpedia.org/resource/Baabda_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hlaliyeh+,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,3,1,0,Hlaliyeh Saida,2,0,http://dbpedia.org/resource/Sidon_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hlaliyeh+Saida,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Hmaireh Aakkar,0,0,https://dbpedia.org/page/Akkar_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hmaireh+Aakkar,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,1,1,0,Hmairi Sour,1,0,http://dbpedia.org/resource/Tyre_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hmairi+Sour,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Hocheb,0,0,https://dbpedia.org/page/Akkar_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hocheb,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Homsiyeh,0,0,https://dbpedia.org/page/South_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Homsiyeh,0,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,,1,1,0,Houaich,2,0,https://dbpedia.org/page/Akkar_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Houaich,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Houla,0,0,http://dbpedia.org/resource/Marjeyoun_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Houla,0,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0
2,,0,1,1,Houmine El-Faouqa,0,0,https://dbpedia.org/page/Nabatieh_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Houmine+El-Faouqa,0,0,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,1,Houmine Et-Tahta,1,0,https://dbpedia.org/page/Nabatieh_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Houmine+Et-Tahta,0,0,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,1,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Howara,0,0,http://dbpedia.org/resource/MiniyehâDanniyeh_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Howara,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Hrajel,0,0,http://dbpedia.org/resource/Keserwan_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hrajel,0,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0
3,,1,1,1,Hrar,2,2,https://dbpedia.org/page/Akkar_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hrar,0,1,1,Impact Open Data,2,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,1,Hsarat,0,0,http://dbpedia.org/resource/Byblos_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hsarat,0,0,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Hsayn,0,0,http://dbpedia.org/resource/Keserwan_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hsayn,1,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Hsoun,0,0,http://dbpedia.org/resource/Byblos_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Hsoun,0,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0
3,,0,0,1,Iaat,1,0,https://dbpedia.org/page/Baalbek-Hermel_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Iaat,0,0,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,1,0,Ibl Es-Saqi,0,0,http://dbpedia.org/resource/Marjeyoun_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Ibl+Es-Saqi,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,1,Idbil,0,0,https://dbpedia.org/page/Akkar_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Idbil,0,1,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Ighmid,0,0,http://dbpedia.org/resource/Aley_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Ighmid,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,1,1,0,Ijbaa,2,0,http://dbpedia.org/resource/Zgharta_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Ijbaa,1,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Ijdaabrine,0,0,https://dbpedia.org/page/North_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Ijdaabrine,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,1,0,Ilat,0,0,https://dbpedia.org/page/Akkar_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Ilat,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
4,,3,1,1,Insariyeh,1,0,http://dbpedia.org/resource/Sidon_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Insariyeh,0,0,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,1,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Izal,0,0,http://dbpedia.org/resource/MiniyehâDanniyeh_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Izal,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Jaaita,0,0,http://dbpedia.org/resource/Keserwan_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jaaita,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,1,1,0,Jadra,0,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jadra,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Jahliyeh,0,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jahliyeh,0,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Jaj,0,0,http://dbpedia.org/resource/Byblos_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jaj,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
12,,0,0,1,Jall Ed-Dib,0,2,http://dbpedia.org/resource/Matn_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jall+Ed-Dib,0,2,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,2,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Janneh Mar Sarkis,0,0,http://dbpedia.org/resource/Byblos_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Janneh+Mar+Sarkis,0,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Jarbata,0,0,http://dbpedia.org/resource/Batroun_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jarbata,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,1,1,1,Jarjouaa,1,0,https://dbpedia.org/page/Nabatieh_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jarjouaa,0,0,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,2,1,0,Jarmaq,0,0,https://dbpedia.org/page/South_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jarmaq,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,1,Jbaa En-Nabatiyeh,1,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jbaa+En-Nabatiyeh,0,0,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
3,,0,0,1,Jbaa En-Nabatiyeh-Ein-Boswar,2,1,https://dbpedia.org/page/Nabatieh_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jbaa+En-Nabatiyeh-Ein-Boswar,0,0,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,1,Jbal El-Botm,1,0,http://dbpedia.org/resource/Tyre_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jbal+El-Botm,0,0,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
45,,5,1,1,Jbeil,1,6,http://dbpedia.org/resource/Byblos_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jbeil,0,2,1,Impact Open Data,7,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,1,4,0,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Jbouleh,0,0,https://dbpedia.org/page/Baalbek-Hermel_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jbouleh,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,3,1,0,Jdaidet Ghazir,0,0,http://dbpedia.org/resource/Keserwan_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jdaidet+Ghazir,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
5,,0,0,1,Jdaidet Marjaayoun,1,0,http://dbpedia.org/resource/Marjeyoun_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jdaidet+Marjaayoun,0,1,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,2,1,https://impact.cib.gov.lb/home#open_data_section,1
5,,1,1,1,Jdeidet Ech-Chouf,1,1,https://dbpedia.org/page/Mount_Lebanon_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jdeidet+Ech-Chouf,0,2,1,Impact Open Data,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,1,1,0,https://impact.cib.gov.lb/home#open_data_section,1
0,,1,1,0,Jdidet Ej-Joumeh,2,0,https://dbpedia.org/page/Akkar_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jdidet+Ej-Joumeh,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,3,1,0,Jdita,1,0,http://dbpedia.org/resource/ZahlÃ©_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jdita,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Jebrayel,0,0,https://dbpedia.org/page/Akkar_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jebrayel,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Jenjlaya,0,0,http://dbpedia.org/resource/Sidon_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jenjlaya,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Jennata,0,0,http://dbpedia.org/resource/Tyre_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jennata,0,0,0,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Jensnaya,1,0,https://dbpedia.org/page/South_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jensnaya,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,0,0,0,Jenta,0,0,https://dbpedia.org/page/Baalbek-Hermel_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jenta,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,0,Jeoddayel Jbeil,0,0,http://dbpedia.org/resource/Byblos_District,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jeoddayel+Jbeil,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,0
0,,0,0,1,Jermanya,2,0,https://dbpedia.org/page/Akkar_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jermanya,0,0,1,Impact Open Data,2,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
0,,2,1,0,Jernaya,2,0,https://dbpedia.org/page/South_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jernaya,0,0,1,Impact Open Data,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1
2,,1,1,1,Jezzine-Ain Majdelin,1,0,https://dbpedia.org/page/South_Governorate,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Jezzine-Ain+Majdelin,0,1,1,Impact Open Data,2,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,1,2,0,https://impact.cib.gov.lb/home#open_data_section,1
